= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets (Part 3) = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Credit Card Spending Habits In India = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"par","Passive Aggressive Regressor","1.161e+05","2.221e+10","1.48e+05","-0.8766","1.46","2.657","0.044"



= = = = = Hotel Booking Demand = = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"xgboost","Extreme Gradient Boosting","9.841","283.2","16.81","0.9226","0.4447","0.134","0.285"
"lightgbm","Light Gradient Boosting Machine","10.65","303.5","17.4","0.9171","0.4719","0.1496","0.275"
"et","Extra Trees Regressor","9.478","356.6","18.86","0.9027","0.4703","0.1267","1.836"
"rf","Random Forest Regressor","10.35","370.4","19.21","0.8989","0.5042","0.1332","2.004"
"gbr","Gradient Boosting Regressor","14.56","475.8","21.8","0.87","0.5206","0.2005","0.646"
"dt","Decision Tree Regressor","13.41","674.9","25.95","0.8157","0.5834","0.1684","0.163"
"lr","Linear Regression","18.59","699.3","26.42","0.8089","0.5898","0.2585","0.886"
"ridge","Ridge Regression","18.59","699","26.42","0.8089","0.5896","0.2587","0.141"
"br","Bayesian Ridge","18.59","699.1","26.42","0.8089","0.5896","0.2587","0.185"
"llar","Lasso Least Angle Regression","23.32","1022","31.95","0.7207","0.6512","0.3225","0.134"
"lasso","Lasso Regression","23.32","1022","31.95","0.7207","0.6512","0.3225","0.139"
"knn","K Neighbors Regressor","24.34","1424","37.72","0.6109","0.6362","0.293","0.149"
"ada","AdaBoost Regressor","30.39","1424","37.72","0.6106","0.713","0.4841","0.83"
"en","Elastic Net","31.08","1748","41.8","0.522","0.7175","0.432","0.143"
"huber","Huber Regressor","34.91","2288","47.82","0.3741","0.7428","0.4566","0.475"
"omp","Orthogonal Matching Pursuit","36.78","2406","49.05","0.342","0.7634","0.5082","0.138"
"par","Passive Aggressive Regressor","42.72","3166","55.77","0.1354","0.8962","0.5568","0.15"
"dummy","Dummy Regressor","48.1","3662","60.51","-0.0008","0.8465","0.692","0.129"
"lar","Least Angle Regression","9.703e+20","9.524e+45","3.631e+22","-2.691e+42","13.84","6.142e+18","0.152"



= = = = = Obesity Level Estimation = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"et","Extra Trees Regressor","1.667","8.983","2.985","0.9867","0.0417","0.0224","0.179"
"rf","Random Forest Regressor","1.759","10.27","3.143","0.985","0.0414","0.0231","0.211"
"lightgbm","Light Gradient Boosting Machine","1.954","10.13","3.158","0.985","0.0419","0.0255","0.21"
"xgboost","Extreme Gradient Boosting","2.044","10.98","3.29","0.9839","0.0441","0.0268","0.147"
"gbr","Gradient Boosting Regressor","2.396","11.7","3.401","0.9827","0.0435","0.0303","0.182"
"dt","Decision Tree Regressor","2.049","16.19","3.982","0.9761","0.0535","0.0272","0.134"
"br","Bayesian Ridge","3.751","26.77","5.158","0.9604","0.0617","0.0458","0.123"
"lr","Linear Regression","3.758","26.78","5.158","0.9603","0.0619","0.046","0.096"
"ridge","Ridge Regression","3.757","27.74","5.25","0.959","0.0599","0.0449","0.142"
"ada","AdaBoost Regressor","5.242","42.24","6.49","0.9374","0.0863","0.0692","0.126"
"huber","Huber Regressor","4.747","43.16","6.548","0.9364","0.071","0.0552","0.143"
"par","Passive Aggressive Regressor","6.707","75.98","8.354","0.8899","0.1","0.0805","0.117"
"knn","K Neighbors Regressor","4.711","80.47","8.903","0.8803","0.1161","0.0665","0.143"
"lasso","Lasso Regression","8.768","125.6","11.19","0.8146","0.1294","0.1082","0.092"
"llar","Lasso Least Angle Regression","8.768","125.7","11.19","0.8146","0.1294","0.1082","0.118"
"omp","Orthogonal Matching Pursuit","14.82","309.8","17.58","0.541","0.2137","0.1877","0.122"
"en","Elastic Net","16","383.4","19.56","0.4343","0.2344","0.2073","0.138"
"dummy","Dummy Regressor","21.7","683.2","26.12","-0.0083","0.3143","0.2866","0.154"
"lar","Least Angle Regression","6.679e+10","6.601e+24","8.125e+11","-1.041e+22","1.466","1.027e+09","0.111"



= = = = = Water Quality Prediction = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","0.1635","0.0514","0.2267","0.5258","0.1704","0.7713","0.296"
"lightgbm","Light Gradient Boosting Machine","0.1475","0.0545","0.2331","0.4986","0.1743","0.6908","0.138"
"et","Extra Trees Regressor","0.1531","0.0584","0.2414","0.4621","0.1807","0.6622","0.327"
"rf","Random Forest Regressor","0.1487","0.0591","0.243","0.4551","0.182","0.6834","0.755"
"xgboost","Extreme Gradient Boosting","0.1541","0.0597","0.2442","0.4499","0.1812","0.6796","0.101"
"huber","Huber Regressor","0.1679","0.0618","0.2484","0.4295","0.1942","0.5522","0.053"
"omp","Orthogonal Matching Pursuit","0.2063","0.0651","0.2551","0.3996","0.1958","0.6517","0.02"
"ridge","Ridge Regression","0.2069","0.0656","0.2561","0.3952","0.1943","0.8262","0.019"
"ada","AdaBoost Regressor","0.2276","0.0693","0.2632","0.3616","0.1989","0.9536","0.081"
"br","Bayesian Ridge","0.2172","0.0726","0.2694","0.3306","0.203","0.8782","0.022"
"lr","Linear Regression","0.2178","0.0731","0.2702","0.3265","0.2035","0.8808","0.02"
"lar","Least Angle Regression","0.2204","0.0751","0.274","0.3083","0.2059","0.8919","0.02"
"dt","Decision Tree Regressor","0.1631","0.0929","0.3045","0.1454","0.2303","0.7809","0.033"
"knn","K Neighbors Regressor","0.255","0.0979","0.3128","0.0999","0.2308","1.303","0.022"
"en","Elastic Net","0.2924","0.1077","0.3281","0.0097","0.2421","1.373","0.021"
"lasso","Lasso Regression","0.2943","0.109","0.33","-0.0021","0.2437","1.374","0.023"
"llar","Lasso Least Angle Regression","0.2943","0.109","0.33","-0.0021","0.2437","1.374","0.024"
"dummy","Dummy Regressor","0.2943","0.109","0.33","-0.0021","0.2437","1.374","0.02"
"par","Passive Aggressive Regressor","0.3125","0.2351","0.3969","-1.109","0.257","1.687","0.024"



= = = = = Weather Prediction For Weather Forecast = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"omp","Orthogonal Matching Pursuit","2.879","12.32","3.505","0.7652","0.2454","0.2125","0.015"
"en","Elastic Net","2.966","13.4","3.655","0.746","0.2477","0.241","0.016"
"par","Passive Aggressive Regressor","3.05","14.95","3.834","0.718","0.2488","0.2334","0.016"
"knn","K Neighbors Regressor","3.025","15.34","3.911","0.7088","0.2513","0.2326","0.019"
"llar","Lasso Least Angle Regression","3.718","20.22","4.489","0.6181","0.3171","0.3322","0.016"
"lasso","Lasso Regression","3.718","20.22","4.49","0.618","0.3172","0.3323","0.015"
"et","Extra Trees Regressor","6.06","51.33","7.152","0.0316","0.4837","0.5787","0.044"
"ridge","Ridge Regression","6.121","52.67","7.244","0.0064","0.4909","0.5926","0.016"
"xgboost","Extreme Gradient Boosting","6.133","53.31","7.288","-0.0053","0.4907","0.5871","0.023"
"br","Bayesian Ridge","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.014"
"lr","Linear Regression","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.015"
"lar","Least Angle Regression","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.02"
"dummy","Dummy Regressor","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.013"
"lightgbm","Light Gradient Boosting Machine","6.148","53.39","7.295","-0.0077","0.4917","0.5897","0.084"
"dt","Decision Tree Regressor","6.151","53.45","7.298","-0.0087","0.4919","0.59","0.017"
"rf","Random Forest Regressor","6.151","53.45","7.298","-0.0087","0.4919","0.59","0.058"
"gbr","Gradient Boosting Regressor","6.151","53.45","7.298","-0.0087","0.4919","0.59","0.034"
"ada","AdaBoost Regressor","6.107","54.26","7.351","-0.0224","0.4856","0.5606","0.022"
"huber","Huber Regressor","6.251","58.56","7.621","-0.1088","0.4966","0.6114","0.021"



= = = = = Credit Card Customers = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lr","Linear Regression","0","0","0","1","0","0","2.311"
"lasso","Lasso Regression","0.004","0","0.0053","1","0","0","0.043"
"ridge","Ridge Regression","0","0","0","1","0","0","0.041"
"en","Elastic Net","0.0026","0","0.0035","1","0","0","0.039"
"llar","Lasso Least Angle Regression","0.0011","0","0.0012","1","0","0","0.04"
"omp","Orthogonal Matching Pursuit","0","0","0","1","0","0","0.043"
"br","Bayesian Ridge","0.0002","0","0.0003","1","0","0","0.048"
"et","Extra Trees Regressor","27.65","3978","61.89","1","0.0072","0.0037","0.844"
"rf","Random Forest Regressor","48.22","9457","97.14","0.9999","0.0099","0.0063","1.23"
"lightgbm","Light Gradient Boosting Machine","60.45","9425","96.8","0.9999","0.0144","0.0102","0.19"
"xgboost","Extreme Gradient Boosting","76.16","1.485e+04","121.6","0.9998","0.0177","0.0126","0.148"
"gbr","Gradient Boosting Regressor","81.15","1.437e+04","119.8","0.9998","0.0218","0.0154","0.449"
"dt","Decision Tree Regressor","93.76","3.031e+04","173.5","0.9996","0.0218","0.0139","0.06"
"ada","AdaBoost Regressor","699.3","6.673e+05","816.7","0.9918","0.2364","0.19","0.274"
"knn","K Neighbors Regressor","4854","5.275e+07","7252","0.3579","0.7994","0.8852","0.049"
"dummy","Dummy Regressor","6865","8.233e+07","9061","-0.0022","1.043","1.566","0.039"
"huber","Huber Regressor","6036","9.894e+07","9930","-0.2029","0.9539","0.751","0.051"
"par","Passive Aggressive Regressor","7680","1.104e+08","1.046e+04","-0.349","1.279","1.559","0.049"
"lar","Least Angle Regression","4.081e+05","9.103e+11","4.825e+05","-1.037e+04","2.367","105.2","0.045"



= = = = = Online Shoppers Purchasing Intention = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lightgbm","Light Gradient Boosting Machine","5.754","218.7","14.76","0.3352","1.133","2.03","0.134"
"gbr","Gradient Boosting Regressor","5.738","220.7","14.8","0.334","1.134","2.017","0.299"
"rf","Random Forest Regressor","5.898","227","15.03","0.3122","1.153","2.24","0.662"
"et","Extra Trees Regressor","6.08","232.8","15.21","0.2954","1.176","2.126","0.369"
"lr","Linear Regression","6.829","244.4","15.57","0.2647","1.357","2.287","0.694"
"ridge","Ridge Regression","6.712","244.6","15.58","0.2641","1.329","2.296","0.023"
"br","Bayesian Ridge","6.644","245.2","15.6","0.2623","1.312","2.303","0.029"
"lasso","Lasso Regression","7.022","257.5","15.98","0.2261","1.423","1.937","0.028"
"llar","Lasso Least Angle Regression","7.022","257.5","15.98","0.2261","1.423","1.937","0.024"
"xgboost","Extreme Gradient Boosting","6.526","266.5","16.25","0.1935","1.23","2.072","0.099"
"en","Elastic Net","8.392","303.2","17.35","0.0867","1.666","1.572","0.03"
"omp","Orthogonal Matching Pursuit","9.087","329.4","18.09","0.0066","1.775","1.374","0.024"
"dummy","Dummy Regressor","9.252","331.8","18.16","-0.0006","1.808","1.104","0.022"
"huber","Huber Regressor","5.831","358.1","18.86","-0.0801","1.237","0.973","0.133"
"knn","K Neighbors Regressor","8.653","368.6","19.16","-0.1188","1.639","1.536","0.03"
"dt","Decision Tree Regressor","7.42","460.3","21.44","-0.4215","1.231","2.501","0.036"
"ada","AdaBoost Regressor","25.32","886.4","29.52","-1.736","2.871","6.738","0.145"
"par","Passive Aggressive Regressor","15.51","1833","32.61","-4.549","1.602","6.522","0.026"
"lar","Least Angle Regression","1802","6.495e+07","2563","-1.905e+05","2.185","177.1","0.025"



= = = = = Rain in Australia = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lightgbm","Light Gradient Boosting Machine","2.123","67.41","8.134","0.2629","0.505","1.305","0.198"
"rf","Random Forest Regressor","2.08","68.13","8.175","0.2527","0.4866","1.107","2.571"
"gbr","Gradient Boosting Regressor","2.154","68.46","8.196","0.2486","0.507","1.48","0.722"
"xgboost","Extreme Gradient Boosting","2.232","67.98","8.188","0.2455","0.5618","1.504","0.212"
"et","Extra Trees Regressor","2.077","69.01","8.219","0.2455","0.485","1.096","2.137"
"lr","Linear Regression","3.421","74.99","8.553","0.1933","0.9646","3.652","0.113"
"ridge","Ridge Regression","3.42","74.99","8.553","0.1933","0.9644","3.651","0.093"
"br","Bayesian Ridge","3.403","75.07","8.557","0.1926","0.9605","3.619","0.134"
"en","Elastic Net","3.564","77.43","8.694","0.1671","1.064","4.005","0.098"
"knn","K Neighbors Regressor","2.929","79.37","8.84","0.1287","0.8875","3.209","0.11"
"dt","Decision Tree Regressor","2.274","81.36","8.951","0.096","0.5385","1.212","0.129"
"lasso","Lasso Regression","3.709","83.98","9.064","0.0922","1.088","4.149","0.096"
"llar","Lasso Least Angle Regression","3.709","83.98","9.064","0.0922","1.088","4.149","0.085"
"omp","Orthogonal Matching Pursuit","3.663","85.78","9.141","0.0786","1.043","4.01","0.09"
"huber","Huber Regressor","2.633","89.87","9.374","0.0306","0.7795","1.163","0.575"
"dummy","Dummy Regressor","4.056","92.37","9.514","-0.0009","1.232","3.146","0.072"
"ada","AdaBoost Regressor","10.73","173.8","13.04","-1.016","2.095","14.69","0.69"
"par","Passive Aggressive Regressor","11.09","227.6","14.06","-1.433","1.924","15.68","0.088"
"lar","Least Angle Regression","8.585e+06","8.299e+14","1.067e+07","-1.773e+13","6.384","1.062e+07","0.093"



= = = = = Water Potability = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"rf","Random Forest Regressor","0.4212","0.212","0.4603","0.1096","0.3241","0.5313","0.267"
"et","Extra Trees Regressor","0.4239","0.2129","0.4614","0.1055","0.3252","0.5322","0.087"
"gbr","Gradient Boosting Regressor","0.4402","0.2229","0.4721","0.0634","0.3315","0.5639","0.143"
"lightgbm","Light Gradient Boosting Machine","0.4185","0.2259","0.4752","0.0508","0.3337","0.5329","0.087"
"ada","AdaBoost Regressor","0.4559","0.2312","0.4807","0.0287","0.3384","0.5744","0.011"
"lasso","Lasso Regression","0.4761","0.2382","0.488","-0.0003","0.3435","0.6057","0.006"
"llar","Lasso Least Angle Regression","0.4761","0.2382","0.488","-0.0003","0.3435","0.6057","0.006"
"omp","Orthogonal Matching Pursuit","0.4761","0.2382","0.488","-0.0003","0.3435","0.6057","0.006"
"en","Elastic Net","0.4761","0.2382","0.4881","-0.0004","0.3435","0.6057","0.006"
"dummy","Dummy Regressor","0.4772","0.2386","0.4885","-0.0021","0.3438","0.6071","0.005"
"br","Bayesian Ridge","0.4766","0.2389","0.4888","-0.0034","0.344","0.6066","0.006"
"ridge","Ridge Regression","0.4772","0.24","0.4899","-0.008","0.3448","0.6074","0.007"
"lar","Least Angle Regression","0.4772","0.24","0.4899","-0.008","0.3448","0.6074","0.007"
"lr","Linear Regression","0.4772","0.24","0.4899","-0.008","0.3448","0.6074","0.008"
"huber","Huber Regressor","0.4757","0.2462","0.4961","-0.0338","0.3487","0.6137","0.011"
"xgboost","Extreme Gradient Boosting","0.4229","0.2469","0.4967","-0.0372","0.3453","0.5349","0.06"
"knn","K Neighbors Regressor","0.4746","0.2901","0.5385","-0.2178","0.3784","0.6317","0.009"
"dt","Decision Tree Regressor","0.4077","0.4077","0.6384","-0.7139","0.4425","0.5146","0.011"
"par","Passive Aggressive Regressor","0.5225","0.4589","0.6649","-0.928","0.3684","0.979","0.006"



= = = = = Group 2 The Wide Data Cohort = = = = =
= = = = =  (Parameter Efficiency) = = = = =


= = = = = Bank Marketing Dataset = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"br","Bayesian Ridge","1579","1.072e+07","3221","0.036","2.603","19.65","0.057"
"lasso","Lasso Regression","1583","1.072e+07","3222","0.0353","2.598","19.39","0.059"
"llar","Lasso Least Angle Regression","1583","1.072e+07","3222","0.0353","2.598","19.39","0.052"
"lr","Linear Regression","1584","1.073e+07","3223","0.0346","2.597","19.41","0.697"
"ridge","Ridge Regression","1584","1.073e+07","3223","0.0346","2.597","19.41","0.056"
"en","Elastic Net","1599","1.083e+07","3238","0.0254","2.642","20.78","0.053"
"omp","Orthogonal Matching Pursuit","1626","1.098e+07","3263","0.0094","2.663","21.41","0.052"
"gbr","Gradient Boosting Regressor","1601","1.096e+07","3252","0.0053","2.603","20.49","0.25"
"dummy","Dummy Regressor","1653","1.112e+07","3282","-0.0017","2.683","21.78","0.056"
"lightgbm","Light Gradient Boosting Machine","1636","1.119e+07","3295","-0.0125","2.586","19.39","0.181"
"huber","Huber Regressor","1363","1.144e+07","3330","-0.0317","2.329","9.682","0.17"
"rf","Random Forest Regressor","1738","1.192e+07","3400","-0.0803","2.636","22.15","0.917"
"knn","K Neighbors Regressor","1779","1.274e+07","3527","-0.1709","2.615","20.34","0.056"
"et","Extra Trees Regressor","1793","1.309e+07","3572","-0.1988","2.608","20.99","0.759"
"xgboost","Extreme Gradient Boosting","1770","1.323e+07","3584","-0.2188","2.62","19.89","0.148"
"par","Passive Aggressive Regressor","2026","1.589e+07","3920","-0.5249","2.568","15.94","0.058"
"ada","AdaBoost Regressor","3313","2.036e+07","4445","-0.9191","3.219","55.94","0.111"
"dt","Decision Tree Regressor","2181","2.114e+07","4523","-0.9309","3.168","21.74","0.067"
"lar","Least Angle Regression","1.191e+06","1.947e+13","2.482e+06","-2.526e+06","6.258","1.628e+04","0.052"



= = = = = Cervical Cancer Risk Factors = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"ridge","Ridge Regression","4.464","43.77","6.509","0.4392","0.2027","0.163","0.083"
"huber","Huber Regressor","4.298","43.95","6.514","0.439","0.1993","0.1504","0.082"
"br","Bayesian Ridge","4.488","44.19","6.532","0.4366","0.2031","0.1647","0.075"
"omp","Orthogonal Matching Pursuit","4.64","45.87","6.678","0.4077","0.2084","0.1708","0.075"
"gbr","Gradient Boosting Regressor","4.698","47.64","6.776","0.3953","0.2099","0.172","0.102"
"xgboost","Extreme Gradient Boosting","4.774","50.77","7.031","0.3405","0.2164","0.1702","0.098"
"lightgbm","Light Gradient Boosting Machine","4.938","52.32","7.118","0.3298","0.2247","0.1814","0.171"
"rf","Random Forest Regressor","4.936","53.4","7.212","0.3074","0.2238","0.178","0.173"
"et","Extra Trees Regressor","5.434","61.72","7.804","0.1669","0.245","0.1952","0.188"
"knn","K Neighbors Regressor","5.686","66.25","8.034","0.1432","0.2541","0.1996","0.071"
"lasso","Lasso Regression","6.367","70.27","8.265","0.1026","0.2749","0.2488","0.082"
"llar","Lasso Least Angle Regression","6.367","70.27","8.265","0.1026","0.2749","0.2488","0.08"
"en","Elastic Net","6.385","70.31","8.268","0.1021","0.2756","0.2501","0.085"
"dummy","Dummy Regressor","6.853","78.75","8.767","-0.0117","0.2948","0.2708","0.085"
"ada","AdaBoost Regressor","7.054","77.81","8.768","-0.0355","0.3068","0.3042","0.108"
"dt","Decision Tree Regressor","5.999","81.58","8.938","-0.123","0.2728","0.2158","0.071"
"par","Passive Aggressive Regressor","10.73","227.4","12.5","-1.528","0.3943","0.4385","0.09"
"lr","Linear Regression","6.649e+10","2.545e+23","3.848e+11","-3.3e+21","5.578","2.954e+09","0.082"
"lar","Least Angle Regression","2.1e+19","1.243e+41","1.467e+20","-2.49e+39","14.99","7.452e+17","0.095"



= = = = = Fertility Diagnosis = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"huber","Huber Regressor","0.0886","0.0143","0.1121","-0.0799","0.0657","0.1272","0.01"
"lightgbm","Light Gradient Boosting Machine","0.087","0.014","0.1118","-0.1746","0.0657","0.1277","0.055"
"lar","Least Angle Regression","0.0908","0.0146","0.1146","-0.1832","0.0674","0.1336","0.011"
"lr","Linear Regression","0.0908","0.0147","0.1151","-0.1973","0.0677","0.1338","0.016"
"ridge","Ridge Regression","0.0912","0.0142","0.1141","-0.2072","0.0672","0.1355","0.01"
"br","Bayesian Ridge","0.0943","0.0144","0.115","-0.2211","0.0679","0.1415","0.009"
"knn","K Neighbors Regressor","0.0933","0.0153","0.115","-0.2524","0.0677","0.1371","0.015"
"omp","Orthogonal Matching Pursuit","0.1008","0.0158","0.12","-0.2868","0.0709","0.151","0.009"
"lasso","Lasso Regression","0.1031","0.0165","0.1233","-0.3775","0.0731","0.1565","0.012"
"en","Elastic Net","0.1031","0.0165","0.1233","-0.3775","0.0731","0.1565","0.009"
"llar","Lasso Least Angle Regression","0.1031","0.0165","0.1233","-0.3775","0.0731","0.1565","0.012"
"dummy","Dummy Regressor","0.1031","0.0165","0.1233","-0.3775","0.0731","0.1565","0.011"
"rf","Random Forest Regressor","0.0968","0.0161","0.1183","-0.4857","0.0695","0.144","0.036"
"par","Passive Aggressive Regressor","0.1001","0.0185","0.1286","-0.5523","0.0764","0.1441","0.009"
"ada","AdaBoost Regressor","0.0949","0.0162","0.1213","-0.771","0.0707","0.1433","0.026"
"gbr","Gradient Boosting Regressor","0.1084","0.02","0.1339","-1.079","0.0786","0.1621","0.024"
"et","Extra Trees Regressor","0.117","0.0221","0.1433","-1.433","0.0839","0.1747","0.03"
"xgboost","Extreme Gradient Boosting","0.1142","0.0243","0.1466","-1.453","0.0857","0.1688","0.015"
"dt","Decision Tree Regressor","0.1121","0.0255","0.1554","-1.604","0.0904","0.1649","0.01"



= = = = = Predict Students Dropout and Academic Success = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"rf","Random Forest Regressor","0.5716","0.7128","0.8424","0.9732","0.0619","0.0565","0.345"
"gbr","Gradient Boosting Regressor","0.5936","0.7148","0.8432","0.9731","0.0749","0.057","0.118"
"lightgbm","Light Gradient Boosting Machine","0.5832","0.7225","0.8475","0.9729","0.0692","0.0565","0.129"
"et","Extra Trees Regressor","0.5952","0.7748","0.8779","0.9709","0.0887","0.0578","0.297"
"xgboost","Extreme Gradient Boosting","0.6234","0.7968","0.8898","0.9701","0.0963","0.0589","0.06"
"ada","AdaBoost Regressor","0.6596","0.8605","0.9264","0.9676","0.0682","0.0657","0.049"
"dt","Decision Tree Regressor","0.8134","1.456","1.205","0.9453","0.0884","0.0802","0.026"
"br","Bayesian Ridge","1.485","4.88","2.203","0.8166","0.5114","0.1069","0.018"
"ridge","Ridge Regression","1.493","4.884","2.204","0.8164","0.5106","0.1079","0.353"
"lr","Linear Regression","1.493","4.885","2.204","0.8164","0.5106","0.1079","0.312"
"en","Elastic Net","1.487","5.803","2.405","0.7819","0.5642","0.095","0.021"
"omp","Orthogonal Matching Pursuit","1.518","6.08","2.46","0.7716","0.5352","0.1045","0.017"
"lasso","Lasso Regression","1.527","6.255","2.497","0.7649","0.5841","0.0951","0.618"
"llar","Lasso Least Angle Regression","1.527","6.255","2.497","0.7649","0.5841","0.0951","0.019"
"huber","Huber Regressor","1.22","6.533","2.552","0.7542","0.539","0.0757","0.037"
"knn","K Neighbors Regressor","1.532","7.896","2.806","0.7028","0.6025","0.096","0.018"
"par","Passive Aggressive Regressor","2.206","9.134","2.87","0.652","0.5935","0.1675","0.019"
"dummy","Dummy Regressor","3.964","26.69","5.164","-0.003","1.079","0.1841","0.019"
"lar","Least Angle Regression","52.35","5.803e+04","78.63","-2071","0.8922","4.057","0.019"



= = = = = Predicting Churn for Bank Customers = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"dummy","Dummy Regressor","4.978e+04","3.314e+09","5.756e+04","-0.0021","1.048","4.793","0.023"
"ada","AdaBoost Regressor","5.239e+04","3.843e+09","6.198e+04","-0.1627","1.073","4.844","0.045"
"gbr","Gradient Boosting Regressor","5.375e+04","4.103e+09","6.405e+04","-0.2414","1.087","4.835","0.252"
"br","Bayesian Ridge","5.388e+04","4.126e+09","6.423e+04","-0.2486","1.085","4.853","0.03"
"omp","Orthogonal Matching Pursuit","5.388e+04","4.129e+09","6.425e+04","-0.2495","1.085","4.827","0.032"
"en","Elastic Net","5.39e+04","4.132e+09","6.428e+04","-0.2502","1.085","4.85","0.03"
"llar","Lasso Least Angle Regression","5.391e+04","4.134e+09","6.429e+04","-0.2509","1.085","4.859","0.025"
"ridge","Ridge Regression","5.391e+04","4.134e+09","6.429e+04","-0.2509","1.085","4.859","0.027"
"lr","Linear Regression","5.391e+04","4.134e+09","6.429e+04","-0.2509","1.085","4.86","0.032"
"lasso","Lasso Regression","5.391e+04","4.134e+09","6.429e+04","-0.2509","1.085","4.859","0.028"
"lar","Least Angle Regression","5.391e+04","4.134e+09","6.429e+04","-0.2509","1.085","4.859","0.025"
"rf","Random Forest Regressor","5.398e+04","4.149e+09","6.441e+04","-0.2554","1.091","4.82","0.757"
"et","Extra Trees Regressor","5.431e+04","4.218e+09","6.494e+04","-0.2762","1.093","4.838","0.424"
"lightgbm","Light Gradient Boosting Machine","5.428e+04","4.217e+09","6.493e+04","-0.2762","1.097","4.819","0.124"
