= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Concrete Compressive Strength = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"llar","Lasso Least Angle Regression","4304","3.839e+07","6176","0.7306","0.5952","0.4434","0.02"
"lr","Linear Regression","4304","3.839e+07","6177","0.7306","0.5949","0.4433","0.07"
"lar","Least Angle Regression","4304","3.839e+07","6177","0.7306","0.5949","0.4433","0.023"
"ridge","Ridge Regression","4318","3.84e+07","6177","0.7306","0.5891","0.4459","0.034"
"lasso","Lasso Regression","4304","3.839e+07","6176","0.7306","0.5952","0.4434","0.062"
"huber","Huber Regressor","3464","4.882e+07","6966","0.6542","0.4904","0.2207","0.034"
"dt","Decision Tree Regressor","3383","4.782e+07","6896","0.6497","0.5602","0.4013","0.027"
"par","Passive Aggressive Regressor","4537","6.735e+07","8143","0.5422","0.5276","0.3207","0.03"
"en","Elastic Net","7373","9.045e+07","9468","0.3792","0.7342","0.9184","0.026"
"omp","Orthogonal Matching Pursuit","9090","1.334e+08","1.149e+04","0.0884","0.879","1.151","0.021"
"knn","K Neighbors Regressor","8008","1.314e+08","1.143e+04","0.0859","0.8535","0.9232","0.031"
"dummy","Dummy Regressor","9193","1.485e+08","1.213e+04","-0.0175","1.015","1.564","0.019"



= = = = = Student Grades Prediction = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","1.122","3.111","1.734","0.8318","0.4087","0.096","0.241"
"rf","Random Forest Regressor","1.115","3.189","1.754","0.8233","0.4327","0.0909","0.348"
"ada","AdaBoost Regressor","1.162","3.246","1.774","0.8169","0.4475","0.0927","0.243"
"en","Elastic Net","1.108","3.726","1.871","0.8077","0.4655","0.0758","0.161"
"lasso","Lasso Regression","1.1","3.757","1.872","0.8074","0.4675","0.0743","0.163"
"llar","Lasso Least Angle Regression","1.1","3.758","1.872","0.8074","0.4675","0.0743","0.171"
"lightgbm","Light Gradient Boosting Machine","1.29","3.525","1.857","0.8054","0.4247","0.1152","0.116"
"omp","Orthogonal Matching Pursuit","1.166","3.787","1.899","0.8019","0.4788","0.0844","0.171"
"br","Bayesian Ridge","1.222","3.846","1.921","0.7973","0.4724","0.0909","0.184"
"huber","Huber Regressor","1.094","4.012","1.919","0.795","0.4696","0.073","0.195"
"et","Extra Trees Regressor","1.2","3.869","1.923","0.7941","0.4556","0.0939","0.333"
"xgboost","Extreme Gradient Boosting","1.117","3.686","1.896","0.7938","0.441","0.0935","0.229"
"knn","K Neighbors Regressor","1.331","4","1.951","0.7736","0.434","0.1122","0.175"
"ridge","Ridge Regression","1.367","4.298","2.041","0.7727","0.4866","0.1056","0.181"
"lr","Linear Regression","1.381","4.34","2.052","0.7704","0.4875","0.1071","0.175"
"dt","Decision Tree Regressor","1.263","4.923","2.124","0.7218","0.4301","0.1209","0.169"
"par","Passive Aggressive Regressor","2.378","11.32","3.016","0.4847","0.5618","0.2168","0.165"
"dummy","Dummy Regressor","3.336","20.05","4.439","-0.0524","0.756","0.2374","0.047"
"lar","Least Angle Regression","1.027e+06","1.424e+13","1.195e+06","-8.324e+11","2.813","1.078e+05","0.179"



= = = = = Insurance Forecast = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","2726","2.335e+07","4814","0.8327","0.444","0.3173","0.141"
"rf","Random Forest Regressor","2779","2.55e+07","5036","0.8164","0.4692","0.3304","0.282"
"lightgbm","Light Gradient Boosting Machine","3020","2.576e+07","5064","0.813","0.5451","0.3822","0.396"
"ada","AdaBoost Regressor","4164","2.781e+07","5263","0.8012","0.615","0.6949","0.083"
"et","Extra Trees Regressor","2851","2.862e+07","5325","0.7976","0.4893","0.3398","0.24"
"xgboost","Extreme Gradient Boosting","3347","3.227e+07","5664","0.7647","0.5841","0.4322","0.115"
"br","Bayesian Ridge","4311","3.839e+07","6177","0.7306","0.5915","0.4447","0.07"
"llar","Lasso Least Angle Regression","4304","3.839e+07","6177","0.7306","0.596","0.4433","0.068"
"lr","Linear Regression","4303","3.839e+07","6177","0.7306","0.5957","0.4433","0.069"
"lar","Least Angle Regression","4303","3.839e+07","6177","0.7306","0.5957","0.4433","0.068"
"ridge","Ridge Regression","4317","3.84e+07","6177","0.7306","0.5895","0.4458","0.066"
"lasso","Lasso Regression","4304","3.839e+07","6177","0.7306","0.596","0.4433","0.066"
"dt","Decision Tree Regressor","3327","4.71e+07","6837","0.6565","0.5537","0.3915","0.076"
"huber","Huber Regressor","3464","4.891e+07","6970","0.6539","0.4892","0.2207","0.089"
"par","Passive Aggressive Regressor","4537","6.735e+07","8143","0.5422","0.5276","0.3207","0.07"
"en","Elastic Net","7372","9.045e+07","9468","0.3792","0.7342","0.9185","0.068"
"omp","Orthogonal Matching Pursuit","9090","1.334e+08","1.149e+04","0.0884","0.879","1.151","0.066"
"knn","K Neighbors Regressor","8033","1.323e+08","1.146e+04","0.0796","0.8606","0.9314","0.071"
"dummy","Dummy Regressor","9193","1.485e+08","1.213e+04","-0.0175","1.015","1.564","0.065"



= = = = = Electric Vehicle Population Data = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"et","Extra Trees Regressor","8.434","731","26.94","0.9227","0.6584","0.1872","0.171"
"ridge","Ridge Regression","27.36","1179","34.34","0.8751","1.989","0.5502","0.134"
"br","Bayesian Ridge","27.36","1179","34.34","0.8751","1.989","0.5501","0.058"
"lr","Linear Regression","27.43","1210","34.76","0.872","1.986","0.5531","0.146"
"lasso","Lasso Regression","30.08","1420","37.68","0.8496","2.147","0.4869","0.163"
"llar","Lasso Least Angle Regression","30.08","1420","37.68","0.8496","2.147","0.4869","0.082"
"gbr","Gradient Boosting Regressor","17.51","1607","40.03","0.83","1.25","0.4127","0.293"
"xgboost","Extreme Gradient Boosting","17.3","1824","42.66","0.807","1.288","0.3797","0.134"
"lightgbm","Light Gradient Boosting Machine","18.93","1872","43.21","0.8019","1.343","0.4694","0.208"
"rf","Random Forest Regressor","18.97","1914","43.7","0.7974","1.355","0.4812","0.284"
"dt","Decision Tree Regressor","18.91","1918","43.75","0.7971","1.356","0.4829","0.064"
"ada","AdaBoost Regressor","24.18","2077","45.54","0.78","1.401","0.6178","0.107"
"en","Elastic Net","39.57","2620","51.18","0.7226","2.433","0.5165","0.092"
"omp","Orthogonal Matching Pursuit","50.82","5923","76.91","0.3732","2.408","0.4162","0.076"
"knn","K Neighbors Regressor","59.53","7129","84.41","0.2443","2.394","1.365","0.069"
"dummy","Dummy Regressor","81.99","9469","97.28","-0.0015","2.982","1.109","0.066"
"huber","Huber Regressor","69.95","1.222e+04","110.5","-0.2911","2.411","0.6948","0.071"
"par","Passive Aggressive Regressor","121.2","2.53e+04","154.3","-1.649","3.459","2.383","0.063"
"lar","Least Angle Regression","2.477e+13","2.482e+30","6.554e+14","-2.447e+26","7.269","2.032e+11","0.071"



= = = = = Graduate Admission 2 = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","0.0396","0.0028","0.0522","0.8434","0.032","0.0623","0.026"
"xgboost","Extreme Gradient Boosting","0.0408","0.0032","0.0549","0.8247","0.0337","0.0644","0.025"
"lightgbm","Light Gradient Boosting Machine","0.0407","0.0032","0.0554","0.8232","0.0341","0.0641","0.065"
"ridge","Ridge Regression","0.0436","0.0035","0.0573","0.8079","0.0351","0.0689","0.006"
"lr","Linear Regression","0.0436","0.0035","0.0573","0.8077","0.0351","0.0688","0.008"
"lar","Least Angle Regression","0.0436","0.0035","0.0573","0.8077","0.0351","0.0688","0.007"
"br","Bayesian Ridge","0.0437","0.0035","0.0574","0.8077","0.0351","0.0691","0.007"
"rf","Random Forest Regressor","0.0428","0.0035","0.0581","0.804","0.0355","0.0674","0.055"
"et","Extra Trees Regressor","0.0434","0.0036","0.0581","0.8023","0.0356","0.0688","0.05"
"ada","AdaBoost Regressor","0.0499","0.004","0.0622","0.7774","0.0376","0.0751","0.025"
"huber","Huber Regressor","0.0505","0.0049","0.0682","0.7339","0.0418","0.0819","0.011"
"knn","K Neighbors Regressor","0.0567","0.0058","0.075","0.6877","0.0451","0.0872","0.016"
"dt","Decision Tree Regressor","0.0573","0.0067","0.0811","0.6221","0.0503","0.0901","0.006"
"omp","Orthogonal Matching Pursuit","0.0695","0.0086","0.0877","0.5713","0.0527","0.1082","0.006"
"en","Elastic Net","0.0721","0.0083","0.0904","0.5457","0.0542","0.1115","0.01"
"lasso","Lasso Regression","0.0974","0.0146","0.1197","0.2116","0.071","0.1495","0.008"
"llar","Lasso Least Angle Regression","0.0974","0.0146","0.1197","0.2116","0.071","0.1495","0.006"
"dummy","Dummy Regressor","0.1128","0.0193","0.1377","-0.0474","0.0813","0.1723","0.009"
"par","Passive Aggressive Regressor","0.1105","0.0196","0.1317","-0.1946","0.0787","0.1645","0.006"



= = = = = Superstore Sales = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lr","Linear Regression","178.6","2.632e+05","486.1","0.3855","1.376","4.035","0.109"
"ridge","Ridge Regression","178.5","2.632e+05","486.2","0.3854","1.375","4.034","0.104"
"llar","Lasso Least Angle Regression","176.2","2.642e+05","486.6","0.3846","1.343","3.857","0.105"
"lasso","Lasso Regression","176.7","2.644e+05","486.9","0.3837","1.351","3.886","0.112"
"br","Bayesian Ridge","175.4","2.651e+05","487.1","0.3833","1.326","3.773","0.101"
"en","Elastic Net","175.4","2.655e+05","487.5","0.3821","1.328","3.785","0.119"
"omp","Orthogonal Matching Pursuit","179.2","2.686e+05","491.2","0.3711","1.351","4.127","0.102"
"huber","Huber Regressor","180.4","2.91e+05","512.8","0.337","1.488","4.552","0.218"
"et","Extra Trees Regressor","151.7","2.987e+05","518.9","0.3271","0.9937","1.836","1.01"
"rf","Random Forest Regressor","158.2","3.206e+05","539.7","0.2751","1.037","1.944","1.839"
"gbr","Gradient Boosting Regressor","154.8","3.228e+05","541.5","0.2749","1.091","2.254","0.535"
"lightgbm","Light Gradient Boosting Machine","162.2","3.209e+05","541.5","0.2674","1.087","2.192","0.246"
"xgboost","Extreme Gradient Boosting","159.7","3.399e+05","557","0.2312","1.059","1.898","0.223"
"ada","AdaBoost Regressor","295.4","3.238e+05","548.9","0.2216","2.173","14.2","0.305"
"dt","Decision Tree Regressor","174.9","3.56e+05","573.4","0.1733","1.17","1.97","0.131"
"knn","K Neighbors Regressor","226.5","4.03e+05","612.5","0.0517","1.675","5.634","0.103"
"dummy","Dummy Regressor","275.9","4.258e+05","630.5","-0.0036","2.055","11.14","0.108"
"par","Passive Aggressive Regressor","537.1","7.593e+05","784.3","-1.087","2.282","22.22","0.11"
"lar","Least Angle Regression","4.854e+07","5.379e+16","7.383e+07","-1.782e+11","3.979","1.662e+06","0.105"



= = = = = Walmart Sales = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"rf","Random Forest Regressor","5.701e+04","8.528e+09","9.213e+04","0.9728","0.078","0.055","0.354"
"xgboost","Extreme Gradient Boosting","5.728e+04","8.787e+09","9.298e+04","0.972","0.0907","0.0615","0.079"
"lightgbm","Light Gradient Boosting Machine","6.077e+04","1.063e+10","1.026e+05","0.9662","0.0995","0.0652","0.122"
"et","Extra Trees Regressor","6.077e+04","1.154e+10","1.067e+05","0.9633","0.0902","0.0604","0.222"
"dt","Decision Tree Regressor","7.216e+04","1.306e+10","1.135e+05","0.9582","0.0969","0.0691","0.019"
"gbr","Gradient Boosting Regressor","1.394e+05","3.411e+10","1.843e+05","0.8912","0.2236","0.1828","0.133"
"ada","AdaBoost Regressor","4.032e+05","2.105e+11","4.587e+05","0.3272","0.5351","0.5952","0.076"
"llar","Lasso Least Angle Regression","4.365e+05","2.737e+11","5.23e+05","0.1263","0.5806","0.6205","0.015"
"ridge","Ridge Regression","4.365e+05","2.737e+11","5.23e+05","0.1263","0.5806","0.6206","0.016"
"lasso","Lasso Regression","4.365e+05","2.737e+11","5.23e+05","0.1263","0.5806","0.6205","0.015"
"lr","Linear Regression","4.365e+05","2.737e+11","5.23e+05","0.1263","0.5806","0.6205","0.797"
"lar","Least Angle Regression","4.365e+05","2.737e+11","5.23e+05","0.1262","0.5806","0.6206","0.016"
"en","Elastic Net","4.369e+05","2.739e+11","5.231e+05","0.1258","0.5805","0.6207","0.016"
"dummy","Dummy Regressor","4.674e+05","3.145e+11","5.606e+05","-0.0029","0.6087","0.6666","0.022"
"br","Bayesian Ridge","4.739e+05","3.207e+11","5.661e+05","-0.0232","0.6148","0.6737","0.015"
"omp","Orthogonal Matching Pursuit","4.74e+05","3.208e+11","5.662e+05","-0.0235","0.6149","0.6738","0.015"
"huber","Huber Regressor","4.646e+05","3.21e+11","5.663e+05","-0.0236","0.5962","0.6157","0.025"
"knn","K Neighbors Regressor","4.957e+05","3.472e+11","5.89e+05","-0.1085","0.6298","0.6851","0.021"
"par","Passive Aggressive Regressor","7.637e+05","8.757e+11","8.995e+05","-1.796","0.8418","1.144","0.016"



= = = = = Credit Card Spending Habits In India = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"ada","AdaBoost Regressor","7.797e+04","8.605e+09","9.274e+04","0.2653","1.004","2.328","0.079"
"gbr","Gradient Boosting Regressor","8.025e+04","9.461e+09","9.723e+04","0.1936","1.017","2.357","0.264"
"rf","Random Forest Regressor","8.188e+04","9.981e+09","9.988e+04","0.1485","1.029","2.384","0.956"
"lightgbm","Light Gradient Boosting Machine","8.142e+04","1.005e+10","1.002e+05","0.1432","1.022","2.376","0.12"
"xgboost","Extreme Gradient Boosting","8.33e+04","1.077e+10","1.037e+05","0.0818","1.044","2.401","0.088"
"et","Extra Trees Regressor","8.502e+04","1.106e+10","1.051e+05","0.0571","1.049","2.405","0.569"
"dummy","Dummy Regressor","8.158e+04","1.181e+10","1.085e+05","-0.0007","1.029","2.448","0.038"
"huber","Huber Regressor","8.208e+04","1.188e+10","1.088e+05","-0.0063","1.024","2.39","0.053"
"lr","Linear Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.608"
"lasso","Lasso Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.062"
"lar","Least Angle Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.038"
"llar","Lasso Least Angle Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.04"
"ridge","Ridge Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.038"
"omp","Orthogonal Matching Pursuit","8.329e+04","1.236e+10","1.11e+05","-0.0465","1.035","2.45","0.04"
"en","Elastic Net","8.445e+04","1.245e+10","1.115e+05","-0.0558","1.044","2.454","0.039"
"br","Bayesian Ridge","8.455e+04","1.257e+10","1.12e+05","-0.0653","1.044","2.458","0.041"
"knn","K Neighbors Regressor","8.861e+04","1.32e+10","1.148e+05","-0.1209","1.06","2.397","0.057"
"dt","Decision Tree Regressor","1.047e+05","1.705e+10","1.305e+05","-0.4542","1.386","2.579","0.073"
"par","Passive Aggressive Regressor","1.161e+05","2.221e+10","1.48e+05","-0.8766","1.46","2.657","0.044"



= = = = = Hotel Booking Demand = = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"xgboost","Extreme Gradient Boosting","9.841","283.2","16.81","0.9226","0.4447","0.134","0.285"
"lightgbm","Light Gradient Boosting Machine","10.65","303.5","17.4","0.9171","0.4719","0.1496","0.275"
"et","Extra Trees Regressor","9.478","356.6","18.86","0.9027","0.4703","0.1267","1.836"
"rf","Random Forest Regressor","10.35","370.4","19.21","0.8989","0.5042","0.1332","2.004"
"gbr","Gradient Boosting Regressor","14.56","475.8","21.8","0.87","0.5206","0.2005","0.646"
"dt","Decision Tree Regressor","13.41","674.9","25.95","0.8157","0.5834","0.1684","0.163"
"lr","Linear Regression","18.59","699.3","26.42","0.8089","0.5898","0.2585","0.886"
"ridge","Ridge Regression","18.59","699","26.42","0.8089","0.5896","0.2587","0.141"
"br","Bayesian Ridge","18.59","699.1","26.42","0.8089","0.5896","0.2587","0.185"
"llar","Lasso Least Angle Regression","23.32","1022","31.95","0.7207","0.6512","0.3225","0.134"
"lasso","Lasso Regression","23.32","1022","31.95","0.7207","0.6512","0.3225","0.139"
"knn","K Neighbors Regressor","24.34","1424","37.72","0.6109","0.6362","0.293","0.149"
"ada","AdaBoost Regressor","30.39","1424","37.72","0.6106","0.713","0.4841","0.83"
"en","Elastic Net","31.08","1748","41.8","0.522","0.7175","0.432","0.143"
"huber","Huber Regressor","34.91","2288","47.82","0.3741","0.7428","0.4566","0.475"
"omp","Orthogonal Matching Pursuit","36.78","2406","49.05","0.342","0.7634","0.5082","0.138"
"par","Passive Aggressive Regressor","42.72","3166","55.77","0.1354","0.8962","0.5568","0.15"
"dummy","Dummy Regressor","48.1","3662","60.51","-0.0008","0.8465","0.692","0.129"
"lar","Least Angle Regression","9.703e+20","9.524e+45","3.631e+22","-2.691e+42","13.84","6.142e+18","0.152"



= = = = = Obesity Level Estimation = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"et","Extra Trees Regressor","1.667","8.983","2.985","0.9867","0.0417","0.0224","0.179"
"rf","Random Forest Regressor","1.759","10.27","3.143","0.985","0.0414","0.0231","0.211"
"lightgbm","Light Gradient Boosting Machine","1.954","10.13","3.158","0.985","0.0419","0.0255","0.21"
"xgboost","Extreme Gradient Boosting","2.044","10.98","3.29","0.9839","0.0441","0.0268","0.147"
"gbr","Gradient Boosting Regressor","2.396","11.7","3.401","0.9827","0.0435","0.0303","0.182"
"dt","Decision Tree Regressor","2.049","16.19","3.982","0.9761","0.0535","0.0272","0.134"
"br","Bayesian Ridge","3.751","26.77","5.158","0.9604","0.0617","0.0458","0.123"
"lr","Linear Regression","3.758","26.78","5.158","0.9603","0.0619","0.046","0.096"
"ridge","Ridge Regression","3.757","27.74","5.25","0.959","0.0599","0.0449","0.142"
"ada","AdaBoost Regressor","5.242","42.24","6.49","0.9374","0.0863","0.0692","0.126"
"huber","Huber Regressor","4.747","43.16","6.548","0.9364","0.071","0.0552","0.143"
"par","Passive Aggressive Regressor","6.707","75.98","8.354","0.8899","0.1","0.0805","0.117"
"knn","K Neighbors Regressor","4.711","80.47","8.903","0.8803","0.1161","0.0665","0.143"
"lasso","Lasso Regression","8.768","125.6","11.19","0.8146","0.1294","0.1082","0.092"
"llar","Lasso Least Angle Regression","8.768","125.7","11.19","0.8146","0.1294","0.1082","0.118"
"omp","Orthogonal Matching Pursuit","14.82","309.8","17.58","0.541","0.2137","0.1877","0.122"
"en","Elastic Net","16","383.4","19.56","0.4343","0.2344","0.2073","0.138"
"dummy","Dummy Regressor","21.7","683.2","26.12","-0.0083","0.3143","0.2866","0.154"
"lar","Least Angle Regression","6.679e+10","6.601e+24","8.125e+11","-1.041e+22","1.466","1.027e+09","0.111"



= = = = = Water Quality Prediction = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","0.1635","0.0514","0.2267","0.5258","0.1704","0.7713","0.296"
"lightgbm","Light Gradient Boosting Machine","0.1475","0.0545","0.2331","0.4986","0.1743","0.6908","0.138"
"et","Extra Trees Regressor","0.1531","0.0584","0.2414","0.4621","0.1807","0.6622","0.327"
"rf","Random Forest Regressor","0.1487","0.0591","0.243","0.4551","0.182","0.6834","0.755"
"xgboost","Extreme Gradient Boosting","0.1541","0.0597","0.2442","0.4499","0.1812","0.6796","0.101"
"huber","Huber Regressor","0.1679","0.0618","0.2484","0.4295","0.1942","0.5522","0.053"
"omp","Orthogonal Matching Pursuit","0.2063","0.0651","0.2551","0.3996","0.1958","0.6517","0.02"
"ridge","Ridge Regression","0.2069","0.0656","0.2561","0.3952","0.1943","0.8262","0.019"
"ada","AdaBoost Regressor","0.2276","0.0693","0.2632","0.3616","0.1989","0.9536","0.081"
"br","Bayesian Ridge","0.2172","0.0726","0.2694","0.3306","0.203","0.8782","0.022"
"lr","Linear Regression","0.2178","0.0731","0.2702","0.3265","0.2035","0.8808","0.02"
"lar","Least Angle Regression","0.2204","0.0751","0.274","0.3083","0.2059","0.8919","0.02"
"dt","Decision Tree Regressor","0.1631","0.0929","0.3045","0.1454","0.2303","0.7809","0.033"
"knn","K Neighbors Regressor","0.255","0.0979","0.3128","0.0999","0.2308","1.303","0.022"
"en","Elastic Net","0.2924","0.1077","0.3281","0.0097","0.2421","1.373","0.021"
"lasso","Lasso Regression","0.2943","0.109","0.33","-0.0021","0.2437","1.374","0.023"
"llar","Lasso Least Angle Regression","0.2943","0.109","0.33","-0.0021","0.2437","1.374","0.024"
"dummy","Dummy Regressor","0.2943","0.109","0.33","-0.0021","0.2437","1.374","0.02"
"par","Passive Aggressive Regressor","0.3125","0.2351","0.3969","-1.109","0.257","1.687","0.024"



= = = = = Weather Prediction For Weather Forecast = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"omp","Orthogonal Matching Pursuit","2.879","12.32","3.505","0.7652","0.2454","0.2125","0.015"
"en","Elastic Net","2.966","13.4","3.655","0.746","0.2477","0.241","0.016"
"par","Passive Aggressive Regressor","3.05","14.95","3.834","0.718","0.2488","0.2334","0.016"
"knn","K Neighbors Regressor","3.025","15.34","3.911","0.7088","0.2513","0.2326","0.019"
"llar","Lasso Least Angle Regression","3.718","20.22","4.489","0.6181","0.3171","0.3322","0.016"
"lasso","Lasso Regression","3.718","20.22","4.49","0.618","0.3172","0.3323","0.015"
"et","Extra Trees Regressor","6.06","51.33","7.152","0.0316","0.4837","0.5787","0.044"
"ridge","Ridge Regression","6.121","52.67","7.244","0.0064","0.4909","0.5926","0.016"
"xgboost","Extreme Gradient Boosting","6.133","53.31","7.288","-0.0053","0.4907","0.5871","0.023"
"br","Bayesian Ridge","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.014"
"lr","Linear Regression","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.015"
"lar","Least Angle Regression","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.02"
"dummy","Dummy Regressor","6.16","53.33","7.29","-0.0061","0.4934","0.5966","0.013"
"lightgbm","Light Gradient Boosting Machine","6.148","53.39","7.295","-0.0077","0.4917","0.5897","0.084"
"dt","Decision Tree Regressor","6.151","53.45","7.298","-0.0087","0.4919","0.59","0.017"
"rf","Random Forest Regressor","6.151","53.45","7.298","-0.0087","0.4919","0.59","0.058"
"gbr","Gradient Boosting Regressor","6.151","53.45","7.298","-0.0087","0.4919","0.59","0.034"
"ada","AdaBoost Regressor","6.107","54.26","7.351","-0.0224","0.4856","0.5606","0.022"
"huber","Huber Regressor","6.251","58.56","7.621","-0.1088","0.4966","0.6114","0.021"



= = = = = Credit Card Customers = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lr","Linear Regression","0","0","0","1","0","0","2.311"
"lasso","Lasso Regression","0.004","0","0.0053","1","0","0","0.043"
"ridge","Ridge Regression","0","0","0","1","0","0","0.041"
"en","Elastic Net","0.0026","0","0.0035","1","0","0","0.039"
"llar","Lasso Least Angle Regression","0.0011","0","0.0012","1","0","0","0.04"
"omp","Orthogonal Matching Pursuit","0","0","0","1","0","0","0.043"
"br","Bayesian Ridge","0.0002","0","0.0003","1","0","0","0.048"
"et","Extra Trees Regressor","27.65","3978","61.89","1","0.0072","0.0037","0.844"
"rf","Random Forest Regressor","48.22","9457","97.14","0.9999","0.0099","0.0063","1.23"
"lightgbm","Light Gradient Boosting Machine","60.45","9425","96.8","0.9999","0.0144","0.0102","0.19"
"xgboost","Extreme Gradient Boosting","76.16","1.485e+04","121.6","0.9998","0.0177","0.0126","0.148"
"gbr","Gradient Boosting Regressor","81.15","1.437e+04","119.8","0.9998","0.0218","0.0154","0.449"
"dt","Decision Tree Regressor","93.76","3.031e+04","173.5","0.9996","0.0218","0.0139","0.06"
"ada","AdaBoost Regressor","699.3","6.673e+05","816.7","0.9918","0.2364","0.19","0.274"
